location,sclaer,selection,reduction,classification,roc_auc,accuracy,best_roc_auc,best_accuracy,roc_auc std,accuracy std,
,standart,,pca,svc,0.8051768238799234,0.8372725260128403,0.8159090411824144,0.8493690502545937,0.012672297110788796,0.008553561824061386,
,standart,,lda,svc,0.7653606339409669,0.8472348904139917,0.7868240697061242,0.8614567190613239,0.011921526537729177,0.009789938744575568,
,minMax,,pca,svc,0.8295942442397178,0.8310825769315917,0.8359185384678833,0.8434801859641355,0.01312793895283978,0.008608967730881682,
,minMax,,lda,svc,0.7638047658198344,0.8472348904139917,0.7834724255535962,0.8614567190613239,0.011049232507684355,0.009789137698319073,
,minMax,f classif,,svc,0.8592266961567292,0.845738321895063,0.8665302718339084,0.8577374363515607,0.01159742029562601,0.007497264627571365,
,minMax,chi squared,,svc,0.8522999995425108,0.8429842816028337,0.8570720692550723,0.8557892406464468,0.011475190343312071,0.008252932881074294,
,minMax,kruskal,,svc,0.8595723541675209,0.8456232012397609,0.8699960509101649,0.8569404471994687,0.013572054180157384,0.006725969607277867,
,minMax,pearson correlation,,svc,0.8355033849099522,0.8411334956829755,0.8397164982503488,0.8538410449413327,0.012228308161609972,0.008326087028683123,
,Standard,f classif,,svc,0.8241999001913193,0.8493247730794776,0.8238642704194321,0.8603497896834182,0.0013685797984133686,0.007038706194500841,
,Standard,kruskal,,svc,0.8032649210637188,0.8304184193048483,0.8071147705336863,0.8452955501439008,0.014083715919446498,0.010837511339561302,
,minMax,f classif,,lda,0.8640336491828045,0.8465000693692082,0.9013983084737918,0.8752213956783563,0.02443973759359461,0.022341467455304135,
,minMax,f classif,,Nearest centroid,0.7718135505933648,0.8183669854764435,0.025401724019396433,,,,
,minMax,f classif,,Random forest,0.864451871282457,0.8478727552891918,0.8971961613534336,0.8586484810911346,0.01984893189282593,0.009629653827554499,
,minMax,f classif,,Decision Tree,0.8444885097225084,0.8422227950449024,0.8801741433805623,0.8739815798795607,0.022343310255685145,0.022023522545771175,
,minMax,f classif,,GaussianNB,0.822114325509917,0.8131684894786689,0.8604126217670375,0.8451115834218916,0.02714715300107852,0.02280535310353375,
,minMax,f classif,,Kneighbors,0.7789406478874882,0.8232101920885603,0.8063637963844236,0.8481225646475381,0.01678070281783691,0.023056469740730345,
,minMax,chi squared,,lda,0.8598851621086852,0.8428251496958655,0.8978879217201244,0.872387530995395,0.02705912837451634,0.02408574018200727,
,minMax,chi squared,,Nearest centroid,0.7721943597861979,0.8186326602904711,0.02559600266640306,,,,
,minMax,chi squared,,Random forest,0.8652359074100172,0.846464636421925,0.8975898605290535,0.8543087414755115,0.020088614584930605,0.008815546878445492,
,minMax,chi squared,,Decision Tree,0.8441236224760583,0.8411424241280756,0.8803487086647719,0.869465108041091,0.02292774423445945,0.020920451546405875,
,minMax,chi squared,,GaussianNB,0.8226906381938758,0.8141690881586181,0.8610954855408691,0.8443145589798087,0.02737518771202752,0.022405814795495662,
,minMax,chi squared,,Kneighbors,0.778467878759437,0.8189329044330703,0.7946819681296318,0.8348388239461566,0.014852439789920577,0.021233488677335523,
,minMax,kruskal,,lda,0.8604413923726847,0.8452425772045723,0.8996836093666214,0.8722989727240524,0.026312136256793784,0.02377336148770843,
,minMax,kruskal,,Nearest centroid,0.7392972118157954,0.8224406659582005,0.055663466007230024,,,,
,minMax,kruskal,,Random forest,0.8591216058746722,0.8445962403996197,0.8910106037221059,0.8563457621114162,0.021602074739742676,0.01008950319367201,
,minMax,kruskal,,Decision Tree,0.8434481822316698,0.8402480004870745,0.8776289142230134,0.8738930216082182,0.022713160756416505,0.02253651167492013,"kfold 10, k=3"
,minMax,kruskal,,GaussianNB,0.8324451153420652,0.8201025974196663,0.8627751496843646,0.8503365214311016,0.028093718562670067,0.03005557384491897,
,minMax,kruskal,,Kneighbors,0.7739175581709282,0.8181625941154145,0.80795743670637,0.8435175345377258,0.020105048606998337,0.025463901925671873,
,minMax,pearson correlation,,lda,0.849845397498898,0.8406821093220455,0.8910943189454825,0.8713248317392844,0.024108772071843327,0.022519338674196455,
,minMax,pearson correlation,,Nearest centroid,0.767394705368129,0.8156216790648246,0.025896147568181895,,,,
,minMax,pearson correlation,,Random forest,0.8385556679019027,0.8379546939082809,0.8815910495869911,0.8499690018598884,0.02114087171554884,0.009366685164515678,
,minMax,pearson correlation,,Decision Tree,0.8404953196635742,0.8413283039637939,0.8766721310962758,0.8684024087849805,0.02095604750203556,0.020172853952367245,
,minMax,pearson correlation,,GaussianNB,0.8244961922521241,0.8159666822657204,0.8649627147952015,0.8498051718030464,0.026539132303432283,0.023491833506098903,
,minMax,pearson correlation,,Kneighbors,0.7643653046316203,0.8155235889968987,0.7955539465031476,0.8467941905773999,0.01629322690206848,0.024072101444568207,
,standard,f classif,,lda,0.8640336491828045,0.8465000693692082,0.9013983084737918,0.8752213956783563,0.02443973759359461,0.022341467455304135,
,standard,f classif,,Nearest centroid,0.7767554581553111,0.8217321997874601,0.03758205011166314,,,,
,standard,f classif,,Random forest,0.8642602040546207,0.8474033125362294,0.8974420698159872,0.8543087414755115,0.019664409861203044,0.008080664120619344,
,standard,f classif,,Decision Tree,0.8444882668068994,0.8422139400019553,0.8801741433805623,0.8739815798795607,0.022343199015385454,0.02201720811683696,
,standard,f classif,,GaussianNB,0.8221139881070807,0.8131684894786689,0.8604122772477275,0.8451115834218916,0.027147408652369674,0.02280535310353375,
,standard,f classif,,Kneighbors,0.7792904073697432,0.8218465288059127,0.8105335665958742,0.8477683315621679,0.018036789442710845,0.023595894333561077,
,standard,kruskal,,lda,0.8313449719147007,0.826743633395074,0.8781905867041943,0.8568012752391073,0.03711822137181073,0.02787173336923955,
,standard,kruskal,,Nearest centroid,0.7330543438032062,0.7751505490612823,0.03873398347852047,,,,
,standard,kruskal,,Random forest,0.8322708061954296,0.8288956273812186,0.8838783940348777,0.8481091134531928,0.029942120246550373,0.015011723818569005,
,standard,kruskal,,Decision Tree,0.7851288126060819,0.8057030138733084,0.8299337139547335,0.8460857244066596,0.033932698032455,0.027202318577922883,
,standard,kruskal,,GaussianNB,0.7723389639441999,0.7906225495127233,0.8130881772792482,0.8261601133545873,0.035899296711234395,0.024397189380953366,
,standard,kruskal,,Kneighbors,0.7252084898565786,0.7926502155464255,0.7645836746503806,0.8211122918880623,0.024089500751693634,0.02852810444665504,
,standard,pearson correlation,,lda,0.849845397498898,0.8406821093220455,0.8910943189454825,0.8713248317392844,0.024108772071843327,0.022519338674196455,
,standard,pearson correlation,,Nearest centroid,0.7834321566163812,0.8250974140984768,0.031276784362417744,,,,
,standard,pearson correlation,,Random forest,0.8387614100470664,0.8376448034827535,0.8827805624052995,0.8531573819856523,0.021216312937846826,0.009729784939488657,
,standard,pearson correlation,,Decision Tree,0.8404966628143434,0.841319448920847,0.8766721310962758,0.8684024087849805,0.020955995659253726,0.02016607274780926,
,standard,pearson correlation,,GaussianNB,0.8244960475164855,0.8159666822657204,0.8649651264303713,0.8498051718030464,0.02653983856763849,0.023491833506098903,
,standard,pearson correlation,,Kneighbors,0.7644510970742087,0.814912592601933,0.7978911655019351,0.8467056323060573,0.01706589397016692,0.024021145416514157,
,minMax,,pca,lda,0.8398574769873303,0.8328008780011906,0.8823975915026061,0.8663655685441021,0.027780901334647622,0.024482161658946823,
,minMax,,pca,Nearest centroid,0.771246837255007,0.8179241941197308,0.025498467951942695,,,,
,minMax,,pca,Random forest,0.8457536179772147,0.8357409363052346,0.8794309125041679,0.8480205473385882,0.02254059784197085,0.01049071507478241,
,minMax,,pca,Decision Tree,0.8272936395091589,0.8340935605707365,0.8614799425893023,0.8654799858306765,0.024942693725761973,0.02327927288994791,
,minMax,,pca,GaussianNB,0.8289923061227646,0.8237861196276466,0.8696096177494651,0.8565356004250797,0.02746452839961348,0.022853671436040494,
,minMax,,pca,Kneighbors,0.7587748890248909,0.8096171326291897,0.7880064294723654,0.8395324123273114,0.018976338626981788,0.02422568826216947,
,minMax,,lda,lda,0.8655111418866728,0.8473501989749794,0.9001134634595135,0.8744243712362735,0.02418339645871106,0.021980482690749127,
,minMax,,lda,Nearest centroid,0.8095910356601644,0.8363443145589798,0.03792996882621759,,,,
,minMax,,lda,Random forest,0.7855879089109571,0.7777912586964169,0.8313434125780861,0.8045345850677531,0.02185865013875539,0.020751752569950915,
,minMax,,lda,Decision Tree,0.8636158902274638,0.8463141338561918,0.898911488590024,0.874512929507616,0.024325346666951273,0.02260527707004733,
,minMax,,lda,GaussianNB,0.865511132529494,0.8476335705437169,0.9001134634595135,0.8748671625929861,0.024183396183347063,0.021714488281755553,
,minMax,,lda,Kneighbors,0.7690180031039902,0.8157273733969603,0.8065583702900965,0.8474140984767977,0.020495311627787734,0.027390783209332126,
,standard,,pca,lda,0.8356770735718893,0.8304541465455969,0.8788706148190899,0.862291888062345,0.029548604865844007,0.022910667093811204,
,standard,,pca,Nearest centroid,0.772345586385304,0.8201381509032943,0.03838262224116719,,,,
,standard,,pca,Random forest,0.8438244145115705,0.8340051455573073,0.8815514977171816,0.8416437870870604,0.024929557413550407,0.010238843303064587,
,standard,,pca,Decision Tree,0.822120659271053,0.8212621477277748,0.8664509587097847,0.8557385759829969,0.029633047553474234,0.02623169974939091,
,standard,,pca,GaussianNB,0.8093774686024103,0.8059160281578446,0.8501445682529061,0.8409493446687921,0.03390010152831421,0.025715021585086352,
,standard,,pca,Kneighbors,0.7541831944434557,0.8058446780925266,0.7722457841039533,0.825628763726532,0.019409082967619076,0.022411510485233432,
,standard,,lda,lda,0.8655111418866728,0.8473501989749794,0.9001134634595135,0.8744243712362735,0.02418339645871106,0.021980482690749127,
